epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,12.8578,1.32929,5.16022,0.80408,0,0,0,0,1.22386,5.4346,0.82181,0.000113253,0.000113253,0.000113253
33,13.1922,1.33219,5.30911,0.85913,0,0,0,0,1.22065,5.42811,0.82682,0.00011516,0.00011516,0.00011516
34,13.5302,1.25454,5.02584,0.82498,0,0,0,0,1.22065,5.42811,0.82682,0.000115808,0.000115808,0.000115808
35,13.8769,1.16511,5.09949,0.86112,0,0,0,0,1.22065,5.42811,0.82682,0.000114105,0.000114105,0.000114105
36,14.2073,1.16028,4.97732,0.8392,0,0,0,0,1.2273,5.42119,0.82678,0.000112402,0.000112402,0.000112402
37,14.5351,1.19156,5.17502,0.81124,0,0,0,0,1.2273,5.42119,0.82678,0.000110699,0.000110699,0.000110699
38,14.8647,1.21272,4.87011,0.83991,0,0,0,0,1.2273,5.42119,0.82678,0.000108996,0.000108996,0.000108996
39,15.1934,1.23315,4.94904,0.83317,0,0,0,0,1.22769,5.4121,0.825,0.000107294,0.000107294,0.000107294
40,15.5262,1.25826,4.97016,0.82202,0,0,0,0,1.22769,5.4121,0.825,0.000105591,0.000105591,0.000105591
41,15.8577,1.21266,4.96417,0.84191,0,0,0,0,1.23332,5.40293,0.82452,0.000103888,0.000103888,0.000103888
42,16.1864,1.29878,4.95396,0.8113,0,0,0,0,1.23332,5.40293,0.82452,0.000102185,0.000102185,0.000102185
43,16.5055,1.2749,4.95614,0.85139,0,0,0,0,1.23332,5.40293,0.82452,0.000100482,0.000100482,0.000100482
44,16.8489,1.0724,4.64397,0.82133,0.00794,0.07143,0.01185,0.01066,1.24785,5.40637,0.82675,9.87796e-05,9.87796e-05,9.87796e-05
45,17.187,1.18669,4.65979,0.82448,0.00794,0.07143,0.01185,0.01066,1.24785,5.40637,0.82675,9.70768e-05,9.70768e-05,9.70768e-05
