epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,779.884,0.63707,3.59462,0.84456,0.03737,0.5527,0.10607,0.09777,0.44693,3.28234,0.89271,8.17516e-05,8.17516e-05,8.17516e-05
55,791.886,0.60343,3.54112,0.84156,0.07477,0.56196,0.11562,0.10138,0.46301,3.24384,0.89217,8.00488e-05,8.00488e-05,8.00488e-05
56,803.933,0.58643,3.5092,0.83277,0.09802,0.56775,0.12257,0.10651,0.4504,3.22383,0.89128,7.8346e-05,7.8346e-05,7.8346e-05
57,816.055,0.66405,3.59619,0.84688,0.13743,0.50672,0.12806,0.11396,0.40057,3.16958,0.88859,7.66432e-05,7.66432e-05,7.66432e-05
58,828.181,0.59087,3.51622,0.8417,0.20719,0.34957,0.12179,0.10816,0.39658,3.15805,0.88768,7.49404e-05,7.49404e-05,7.49404e-05
59,840.249,0.62796,3.48171,0.85581,0.20579,0.36359,0.12017,0.1071,0.40116,3.16127,0.88798,7.32376e-05,7.32376e-05,7.32376e-05
60,852.271,0.61455,3.47426,0.84769,0.14885,0.42868,0.12226,0.10847,0.40517,3.16477,0.88825,7.15348e-05,7.15348e-05,7.15348e-05
61,864.281,0.61212,3.44748,0.82828,0.25566,0.35572,0.12735,0.11297,0.41289,3.15437,0.88809,6.9832e-05,6.9832e-05,6.9832e-05
62,876.335,0.5978,3.44972,0.82567,0.276,0.2943,0.13044,0.11729,0.41681,3.13774,0.88741,6.81292e-05,6.81292e-05,6.81292e-05
63,888.548,0.63674,3.47726,0.85011,0.41375,0.22257,0.13461,0.12008,0.41059,3.07454,0.88606,6.64264e-05,6.64264e-05,6.64264e-05
64,900.615,0.59304,3.42623,0.83747,0.41969,0.2232,0.13849,0.12315,0.40619,3.04603,0.8858,6.47236e-05,6.47236e-05,6.47236e-05
65,912.514,0.59403,3.39511,0.84408,0.33469,0.26023,0.14434,0.12958,0.38501,3.03001,0.88621,6.30208e-05,6.30208e-05,6.30208e-05
66,924.54,0.60828,3.42775,0.83503,0.31737,0.27064,0.14732,0.13335,0.37775,3.02685,0.88571,6.1318e-05,6.1318e-05,6.1318e-05
67,936.552,0.62492,3.3994,0.83418,0.37728,0.23494,0.15483,0.13989,0.37254,2.99264,0.88449,5.96152e-05,5.96152e-05,5.96152e-05
68,948.622,0.59574,3.33421,0.83971,0.40937,0.20708,0.15666,0.14292,0.36857,2.98578,0.88398,5.79124e-05,5.79124e-05,5.79124e-05
69,960.544,0.59291,3.32325,0.82657,0.44523,0.20379,0.16071,0.14827,0.38183,2.96893,0.88308,5.62096e-05,5.62096e-05,5.62096e-05
70,972.5,0.56443,3.34,0.83911,0.44819,0.19586,0.16253,0.14907,0.39416,2.97685,0.88326,5.45068e-05,5.45068e-05,5.45068e-05
71,984.516,0.59365,3.35116,0.84174,0.4492,0.19697,0.16919,0.15669,0.39808,2.95613,0.88288,5.2804e-05,5.2804e-05,5.2804e-05
72,996.624,0.57964,3.29467,0.85487,0.42994,0.20582,0.17739,0.16463,0.38733,2.93027,0.88278,5.11012e-05,5.11012e-05,5.11012e-05
73,1008.71,0.59049,3.36552,0.82719,0.44326,0.21497,0.19227,0.17842,0.3823,2.91185,0.88265,4.93984e-05,4.93984e-05,4.93984e-05
74,1020.69,0.58157,3.25625,0.83406,0.45281,0.20718,0.19344,0.17852,0.38484,2.92008,0.88296,4.76956e-05,4.76956e-05,4.76956e-05
75,1032.8,0.58862,3.33974,0.83149,0.46883,0.21395,0.19794,0.18448,0.38355,2.91905,0.88204,4.59928e-05,4.59928e-05,4.59928e-05
76,1044.78,0.65438,3.29376,0.84749,0.4516,0.22632,0.19555,0.18345,0.37851,2.9096,0.88103,4.429e-05,4.429e-05,4.429e-05
77,1056.81,0.58363,3.29988,0.84519,0.44931,0.21707,0.18283,0.17385,0.35874,2.92192,0.87974,4.25872e-05,4.25872e-05,4.25872e-05
78,1068.76,0.55284,3.2382,0.82768,0.49978,0.20135,0.17772,0.16933,0.35393,2.95319,0.88037,4.08844e-05,4.08844e-05,4.08844e-05
79,1080.67,0.59111,3.2314,0.8394,0.53585,0.18556,0.17885,0.16988,0.35917,2.96928,0.88086,3.91816e-05,3.91816e-05,3.91816e-05
80,1092.68,0.55895,3.23851,0.83273,0.54068,0.18371,0.18102,0.17148,0.3674,2.96534,0.88131,3.74788e-05,3.74788e-05,3.74788e-05
81,1104.75,0.58516,3.1948,0.81794,0.45073,0.22285,0.19374,0.18171,0.38311,2.88568,0.88096,3.5776e-05,3.5776e-05,3.5776e-05
82,1116.73,0.49908,3.18128,0.8389,0.46663,0.229,0.19757,0.18524,0.38887,2.86125,0.88163,3.40732e-05,3.40732e-05,3.40732e-05
83,1128.83,0.55755,3.19191,0.81766,0.42382,0.23983,0.20727,0.19542,0.38576,2.81297,0.88226,3.23704e-05,3.23704e-05,3.23704e-05
84,1140.86,0.57462,3.15447,0.83958,0.44714,0.23704,0.20935,0.19727,0.38838,2.78366,0.88242,3.06676e-05,3.06676e-05,3.06676e-05
85,1152.91,0.5622,3.19408,0.83266,0.44662,0.25037,0.22066,0.20945,0.37948,2.75728,0.8825,2.89648e-05,2.89648e-05,2.89648e-05
86,1165,0.53621,3.17169,0.8346,0.44971,0.25014,0.22215,0.21139,0.37578,2.75357,0.88236,2.7262e-05,2.7262e-05,2.7262e-05
87,1177.02,0.58176,3.16582,0.83042,0.45209,0.25106,0.23102,0.21975,0.37509,2.74721,0.88199,2.55592e-05,2.55592e-05,2.55592e-05
88,1189.25,0.60414,3.22365,0.84004,0.45059,0.24757,0.23515,0.22421,0.36941,2.74504,0.8814,2.38564e-05,2.38564e-05,2.38564e-05
89,1201.23,0.56798,3.19554,0.83108,0.45124,0.25572,0.23347,0.22272,0.35982,2.73867,0.88081,2.21536e-05,2.21536e-05,2.21536e-05
90,1213.28,0.54119,3.13117,0.82831,0.45587,0.25415,0.23008,0.21992,0.35658,2.74909,0.88069,2.04508e-05,2.04508e-05,2.04508e-05
91,1224.72,0.53725,3.67786,0.82247,0.37745,0.30532,0.22928,0.21792,0.35998,2.6771,0.87965,1.8748e-05,1.8748e-05,1.8748e-05
92,1236.2,0.56159,3.54395,0.82741,0.34182,0.34964,0.22578,0.21419,0.36144,2.66526,0.87937,1.70452e-05,1.70452e-05,1.70452e-05
93,1247.63,0.53589,3.42363,0.81432,0.32392,0.33134,0.2174,0.20448,0.36972,2.69789,0.88025,1.53424e-05,1.53424e-05,1.53424e-05
94,1258.95,0.51796,3.2339,0.80526,0.31682,0.32474,0.20043,0.18659,0.3737,2.72683,0.88121,1.36396e-05,1.36396e-05,1.36396e-05
95,1270.47,0.51909,3.16853,0.82122,0.29052,0.3635,0.18127,0.16682,0.3806,2.75988,0.88349,1.19368e-05,1.19368e-05,1.19368e-05
96,1282.05,0.47687,3.02761,0.82588,0.28188,0.34683,0.17459,0.1596,0.38206,2.77419,0.88456,1.0234e-05,1.0234e-05,1.0234e-05
97,1293.78,0.50532,3.06515,0.83388,0.23207,0.33788,0.1686,0.15303,0.38234,2.7875,0.88574,8.5312e-06,8.5312e-06,8.5312e-06
98,1305.55,0.47211,3.02435,0.81399,0.22867,0.33478,0.16313,0.1476,0.38505,2.7978,0.88634,6.8284e-06,6.8284e-06,6.8284e-06
99,1317.05,0.469,3.00328,0.83159,0.24372,0.30878,0.15734,0.14143,0.38667,2.82147,0.88763,5.1256e-06,5.1256e-06,5.1256e-06
100,1328.69,0.50753,2.99761,0.82401,0.24588,0.31892,0.16076,0.14508,0.38529,2.80952,0.88734,3.4228e-06,3.4228e-06,3.4228e-06
